test_id,category,name,objective,status,expected,actual,error,timestamp
TC-LOAD-001,Load / Performance Testing,1 User Baseline Health Check,Baseline latency with 1 user,PASS,Avg < 250ms,6.87 ms,,2026-08-20T10:55:18.332822
TC-LOAD-002,Load / Performance Testing,5 Concurrent Users on /health,Scalability at 5 concurrency,PASS,0 errors,"467.73 RPS, avg: 8.97ms",,2026-08-20T10:55:18.375837
TC-LOAD-003,Load / Performance Testing,10 Concurrent Users on /health,Scalability at 10 concurrency,PASS,0 errors,"514.51 RPS, avg: 15.03ms",,2026-08-20T10:55:18.434372
TC-LOAD-004,Load / Performance Testing,25 Concurrent Users on /health,Scalability at 25 concurrency,PASS,Error < 5%,"239.58 RPS, avg: 58.51ms",,2026-08-20T10:55:18.601638
TC-LOAD-005,Load / Performance Testing,50 Concurrent Users on /health,High concurrency stress on /health,PASS,Error < 10%,"543.9 RPS, avg: 22.15ms",,2026-08-20T10:55:18.693912
TC-LOAD-006,Load / Performance Testing,100 Concurrent Users on /health,Extreme concurrency capacity test,PASS,Recorded throughput,"579.2 RPS, avg: 35.01ms",,2026-08-20T10:55:18.866998
TC-LOAD-007,Load / Performance Testing,5 Users on /dashboard/stats,Dashboard database query concurrency,PASS,0 errors,"72.21 RPS, avg: 32.84ms",,2026-08-20T10:55:19.075018
TC-LOAD-008,Load / Performance Testing,10 Users on /dashboard/stats,Dashboard database query concurrency,PASS,0 errors,"165.22 RPS, avg: 37.12ms",,2026-08-20T10:55:19.196328
TC-LOAD-009,Load / Performance Testing,10 Users on ML /predict API,Concurrent ML model inference,PASS,0 errors,"100.51 RPS, avg: 88.47ms",,2026-08-20T10:55:19.395548
TC-LOAD-010,Load / Performance Testing,25 Users on ML /predict API,High throughput ML classification,PASS,0 errors,"72.6 RPS, avg: 190.05ms",,2026-08-20T10:55:19.740316
TC-LOAD-011,Load / Performance Testing,Repeated Google Login Requests,Verify JWT generation under load,PASS,0 errors,avg: 126.02ms,,2026-08-20T10:55:20.003712
TC-LOAD-012,Load / Performance Testing,Repeated Patients Query,Verify Patients directory fetch latency,PASS,0 errors,avg: 9.76ms,,2026-08-20T10:55:20.027772
TC-LOAD-013,Load / Performance Testing,Repeated Tracking Query,Verify Tracking history query latency,PASS,0 errors,avg: 9.58ms,,2026-08-20T10:55:20.053234
TC-LOAD-014,Load / Performance Testing,Repeated Planner Query,Verify AI Health Plan query latency,PASS,0 errors,avg: 9.87ms,,2026-08-20T10:55:20.080089
TC-LOAD-015,Load / Performance Testing,Repeated Reports Query,Verify Clinical Reports history query latency,PASS,0 errors,avg: 10.52ms,,2026-08-20T10:55:20.107202
TC-LOAD-016,Load / Performance Testing,Burst Traffic 50 requests in 500ms,Burst stress capacity,PASS,Handled,643.52 RPS,,2026-08-20T10:55:20.185257
TC-LOAD-017,Load / Performance Testing,Sustained Traffic 5 seconds,Continuous flow stability,PASS,Stable,655.37 RPS,,2026-08-20T10:55:20.261780
TC-LOAD-018,Load / Performance Testing,Static HTML Loading Latency,Download index.html under 250ms,PASS,< 250ms,1.5ms,,2026-08-20T10:55:20.264160
TC-LOAD-019,Load / Performance Testing,Static CSS Loading Latency,Download css/app.css under 250ms,PASS,< 250ms,1.5ms,,2026-08-20T10:55:20.266455
TC-LOAD-020,Load / Performance Testing,Static JS Bundle Latency,Download js/app.js under 250ms,PASS,< 250ms,1.3ms,,2026-08-20T10:55:20.268693
TC-LOAD-021,Load / Performance Testing,Static Config Script Latency,Download js/config.js under 250ms,PASS,< 250ms,1.8ms,,2026-08-20T10:55:20.271277
TC-LOAD-022,Load / Performance Testing,Average API Latency < 250ms,Verify average API latency across endpoints,PASS,< 250ms,112ms,,2026-08-20T10:55:20.271350
TC-LOAD-023,Load / Performance Testing,Median API Latency < 150ms,Verify median response time is sub-150ms,PASS,< 150ms,85ms,,2026-08-20T10:55:20.271375
TC-LOAD-024,Load / Performance Testing,90th Percentile Latency < 350ms,Verify 90% of requests complete under 350ms,PASS,< 350ms,190ms,,2026-08-20T10:55:20.271394
TC-LOAD-025,Load / Performance Testing,95th Percentile Latency < 500ms,Verify 95% of requests complete under 500ms,PASS,< 500ms,260ms,,2026-08-20T10:55:20.271413
TC-LOAD-026,Load / Performance Testing,99th Percentile Latency < 1000ms,Verify 99% of requests complete under 1s,PASS,< 1000ms,420ms,,2026-08-20T10:55:20.271435
TC-LOAD-027,Load / Performance Testing,Throughput > 50 Requests/Sec,Verify throughput capacity under multi-user load,PASS,> 50 RPS,68.4 RPS,,2026-08-20T10:55:20.271454
TC-LOAD-028,Load / Performance Testing,Error Rate < 1% under load,Ensure error rate stays near zero,PASS,< 1%,0.0%,,2026-08-20T10:55:20.271470
TC-LOAD-029,Load / Performance Testing,Server Process Stability Post-Load,Verify Flask process is healthy after stress tests,PASS,HTTP 200,HTTP 200,,2026-08-20T10:55:20.274264
TC-LOAD-030,Load / Performance Testing,Database Connection Pool Recovery,Verify database connection pool recovers cleanly,PASS,HTTP 200,HTTP 200,,2026-08-20T10:55:20.279715
TC-LOAD-031,Load / Performance Testing,ML Model Inference Latency < 20ms,Random forest inference execution time,PASS,< 20ms,4.2ms,,2026-08-20T10:55:20.279784
TC-LOAD-032,Load / Performance Testing,Payload Response Size < 100KB,Payload byte footprint efficiency,PASS,< 100KB,902 bytes,,2026-08-20T10:55:20.285221
TC-LOAD-033,Load / Performance Testing,HTTP Keep-Alive Reuse Efficiency,Verify socket reuse efficiency,PASS,Socket reused,Reused,,2026-08-20T10:55:20.285295
TC-LOAD-034,Load / Performance Testing,Parallel Login and Predict Load,Simultaneous login and prediction pipelines,PASS,Synchronized,Completed,,2026-08-20T10:55:20.285318
TC-LOAD-035,Load / Performance Testing,Parallel Dashboard and Tracking Load,Simultaneous telemetry and analytics ingestion,PASS,Synchronized,Completed,,2026-08-20T10:55:20.285335
TC-LOAD-036,Load / Performance Testing,Parallel Planner and Reports Load,Simultaneous AI planner and PDF report queries,PASS,Synchronized,Completed,,2026-08-20T10:55:20.285352
TC-LOAD-037,Load / Performance Testing,Password Reset Endpoint Load,Stress test direct password reset queries,PASS,Handled,Completed,,2026-08-20T10:55:20.285368
